Strike,Ticker,ExDt,Bid,Ask,IVM,Mid,DM,DB,DA,sDM,Volm
17-Nov-23 (14d); CSize 100,,,,,,,,,,,
190,SIK 11/17/23 C190,11/17/23,37.8000030517578,39.25,47.5339851379395,38.5250015258789,0.977931380271912,1.0,0.92416650056839,0.976657748222351,0.0
195,SIK 11/17/23 C195,11/17/23,32.8500061035156,34.2999877929688,43.3492469787598,33.5749969482422,0.975079774856567,1.0,0.915245413780212,0.969372749328613,0.0
200,SIK 11/17/23 C200,11/17/23,28.0,29.3500061035156,39.9724922180176,28.6750030517578,0.971310198307037,1.0,0.90386027097702,0.955886125564575,0.0
210,SIK 11/17/23 C210,11/17/23,18.25,19.6000061035156,31.5283126831055,18.9250030517578,0.937479496002197,1.0,0.882784485816956,0.913961231708527,0.0
220,SIK 11/17/23 C220,11/17/23,9.75,10.75,28.119987487793,10.25,0.729489386081696,0.404486089944839,0.704121291637421,0.755988597869873,28.0
230,SIK 11/17/23 C230,11/17/23,3.69999980926514,4.5,26.7997188568115,4.09999990463257,0.259134501218796,0.231617704033852,0.28320249915123,0.457132160663605,40.0
240,SIK 11/17/23 C240,11/17/23,0.75,1.64999961853027,26.9374866485596,1.19999980926514,0.0526329018175602,0.00551268085837364,0.0821089670062065,0.184085130691528,68.0
250,SIK 11/17/23 C250,11/17/23,0.0100000016391277,0.649999976158142,28.7089385986328,0.3299999833107,0.0356928817927837,0.0100014796480536,0.0543201602995396,0.0600075349211693,2.0
260,SIK 11/17/23 C260,11/17/23,0.00999999977648258,0.410000026226044,35.0769157409668,0.21000000834465,0.0197747405618429,0.00235116202384233,0.0323858298361301,0.034213162958622,0.0
270,SIK 11/17/23 C270,11/17/23,0.00999999977648258,0.319999992847443,41.6089096069336,0.16499999165535,0.0174009893089533,0.00203710305504501,0.0286674704402685,0.0238836985081434,0.0
17-Nov-23 (14d); CSize 100,,,,,,,,,,,
205,SIKAO 11/17/23 C205,11/17/23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
210,SIKAO 11/17/23 C210,11/17/23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
215,SIKAO 11/17/23 C215,11/17/23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
220,SIKAO 11/17/23 C220,11/17/23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
225,SIKAO 11/17/23 C225,11/17/23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
230,SIKAO 11/17/23 C230,11/17/23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
235,SIKAO 11/17/23 C235,11/17/23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
240,SIKAO 11/17/23 C240,11/17/23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
245,SIKAO 11/17/23 C245,11/17/23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
250,SIKAO 11/17/23 C250,11/17/23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17-Nov-23 (14d); CSize 100,,,,,,,,,,,
190,SIKE 11/17/23 C190,11/17/23,35.7999877929688,41.1499938964844,57.0438346862793,38.4749908447266,0.983241498470306,1.0,0.869933784008026,0.95148903131485,0.0
195,SIKE 11/17/23 C195,11/17/23,31.1999969482422,35.8499908447266,51.3061141967773,33.5249938964844,0.975091695785522,1.0,0.865404307842255,0.942814111709595,0.0
200,SIKE 11/17/23 C200,11/17/23,26.6499938964844,30.5999908447266,46.2358283996582,28.6249923706055,0.971323907375336,1.0,0.861916184425354,0.928739011287689,0.0
210,SIKE 11/17/23 C210,11/17/23,17.5,20.5,36.7778434753418,19.0,0.923910677433014,1.0,0.815221428871155,0.876243531703949,0.0
220,SIKE 11/17/23 C220,11/17/23,8.75,11.75,30.1580867767334,10.25,0.727778196334839,1.0,0.661895871162415,0.7328040599823,0.0
230,SIKE 11/17/23 C230,11/17/23,2.84999942779541,5.19999980926514,27.3861808776856,4.02499961853027,0.263926088809967,0.158006206154823,0.317706495523453,0.445770055055618,0.0
240,SIKE 11/17/23 C240,11/17/23,0.00999999791383743,3.0,30.0032997131348,1.50499999523163,0.182968094944954,0.0055130859836936,0.253672897815704,0.20284378528595,0.0
250,SIKE 11/17/23 C250,11/17/23,0.00999999791383743,3.0,43.3780860900879,1.50499999523163,0.207266703248024,0.00411010719835758,0.207266703248024,0.152687892317772,0.0
260,SIKE 11/17/23 C260,11/17/23,0.00999999791383743,3.0,55.1305160522461,1.50499999523163,0.179519206285477,0.00308480998501182,0.179519206285477,0.126589745283127,0.0
270,SIKE 11/17/23 C270,11/17/23,0.0,3.0,80.7585525512695,3.0,0.160693302750587,0.0,0.160693302750587,0.165607243776321,0.0
15-Dec-23 (42d); CSize 100,,,,,,,,,,,
190,SIK 12/15/23 C190,12/15/23,38.5,39.8999938964844,34.1939086914062,39.1999969482422,0.953934907913208,1.0,0.913472771644592,0.948355555534363,0.0
195,SIK 12/15/23 C195,12/15/23,33.6999969482422,35.0499877929688,32.0025405883789,34.3749923706055,0.93323677778244,1.0,0.895160317420959,0.932882487773895,0.0
200,SIK 12/15/23 C200,12/15/23,29.0500030517578,30.3500061035156,30.5663528442383,29.7000045776367,0.903883993625641,0.944091498851776,0.875487625598907,0.907056868076324,0.0
210,SIK 12/15/23 C210,12/15/23,20.3000030517578,21.3500061035156,28.009464263916,20.8250045776367,0.78738921880722,0.576910674571991,0.769348323345184,0.823694467544556,0.0
220,SIK 12/15/23 C220,12/15/23,12.6000003814697,13.5500001907349,26.0318088531494,13.0750007629394,0.622868597507477,0.62841522693634,0.618033170700073,0.682659387588501,0.0
230,SIK 12/15/23 C230,12/15/23,6.80000019073486,7.55000019073486,24.8354053497314,7.17500019073486,0.403886705636978,0.403173804283142,0.408430814743042,0.49005663394928,4.0
240,SIK 12/15/23 C240,12/15/23,3.05000019073486,3.80000019073486,24.2786865234375,3.42500019073486,0.203474104404449,0.18445360660553,0.220113202929497,0.296156823635101,250.0
250,SIK 12/15/23 C250,12/15/23,1.05000019073486,1.80000019073486,24.0393714904785,1.42500019073486,0.095662847161293,0.0700747668743134,0.116739898920059,0.150614693760872,0.0
260,SIK 12/15/23 C260,12/15/23,0.220000028610229,0.899999976158142,24.3395137786865,0.560000002384186,0.0479082390666008,0.0225270409137011,0.0674761012196541,0.0685020387172699,0.0
270,SIK 12/15/23 C270,12/15/23,0.0100000016391277,0.600000023841858,26.4273262023926,0.305000007152557,0.0445371903479099,0.0025477078743279,0.0391435399651527,0.037822850048542,0.0
15-Dec-23 (42d); CSize 100,,,,,,,,,,,
190,SIKE 12/15/23 C190,12/15/23,36.5499877929688,42.0,38.7970886230469,39.2749938964844,0.944407105445862,1.0,0.856992423534393,0.924734532833099,0.0
195,SIKE 12/15/23 C195,12/15/23,32.0999908447266,36.8999938964844,36.2209205627441,34.4999923706055,0.924281299114227,1.0,0.845362186431885,0.907059550285339,0.0
200,SIKE 12/15/23 C200,12/15/23,27.75,31.8999938964844,33.9362373352051,29.8249969482422,0.898344576358795,1.0,0.829573929309845,0.882495701313019,0.0
210,SIKE 12/15/23 C210,12/15/23,19.3499908447266,22.3499908447266,29.6817836761475,20.8499908447266,0.805295884609222,0.895337998867035,0.75825959444046,0.806656897068024,0.0
220,SIKE 12/15/23 C220,12/15/23,11.5500001907349,14.5500001907349,26.9028301239014,13.0500001907349,0.632608771324158,0.66288948059082,0.614872694015503,0.671414315700531,0.0
230,SIKE 12/15/23 C230,12/15/23,5.80000019073486,8.5,25.3761100769043,7.15000009536743,0.401010096073151,0.374119699001312,0.420479297637939,0.483015567064285,0.0
240,SIKE 12/15/23 C240,12/15/23,2.25,4.55000019073486,24.6189517974854,3.40000009536743,0.179632797837257,0.0444603115320206,0.244173899292946,0.291992902755737,0.0
250,SIKE 12/15/23 C250,12/15/23,0.00999999791383743,3.0,24.7994728088379,1.50499999523163,0.144107297062874,0.00375410099513829,0.208409503102303,0.153855994343758,0.0
260,SIKE 12/15/23 C260,12/15/23,0.00999999791383743,3.0,31.6018524169922,1.50499999523163,0.121530503034592,0.00290221092291176,0.180290699005127,0.127306073904038,0.0
270,SIKE 12/15/23 C270,12/15/23,0.00999999791383743,3.0,37.7738838195801,1.50499999523163,0.161261007189751,0.00253007258288562,0.161261007189751,0.110649026930332,0.0
19-Jan-24 (77d); CSize 100,,,,,,,,,,,
190,SIK 1/19/24 C190,01/19/24,39.5500030517578,40.9499969482422,31.5320930480957,40.25,0.899541676044464,0.938106179237366,0.872340381145477,0.915712773799896,0.0
195,SIK 1/19/24 C195,01/19/24,34.9499969482422,36.3500061035156,30.258337020874,35.6500015258789,0.885006725788116,0.920596778392792,0.858986914157867,0.892488420009613,0.0
200,SIK 1/19/24 C200,01/19/24,30.6000061035156,31.8500061035156,29.2983837127686,31.2250061035156,0.839158296585083,0.868575513362885,0.816560626029968,0.861223816871643,0.0
210,SIK 1/19/24 C210,01/19/24,22.4499969482422,23.4499969482422,27.6189403533936,22.9499969482422,0.74301552772522,0.758553206920624,0.730071306228638,0.774910926818848,0.0
220,SIK 1/19/24 C220,01/19/24,15.25,16.25,26.2519683837891,15.75,0.61163341999054,0.615279614925385,0.608441889286041,0.654674291610718,25.0
230,SIK 1/19/24 C230,01/19/24,9.5,10.5,25.2607917785644,10.0,0.446789503097534,0.442601799964905,0.450706005096436,0.508623600006104,0.0
240,SIK 1/19/24 C240,01/19/24,5.5,6.40000057220459,24.8471794128418,5.95000028610229,0.290450990200043,0.280119001865387,0.299974501132965,0.360553622245789,0.0
250,SIK 1/19/24 C250,01/19/24,2.85000038146973,3.69999980926514,24.5297946929932,3.27500009536743,0.167832493782043,0.147815406322479,0.185343503952026,0.232879489660263,0.0
260,SIK 1/19/24 C260,01/19/24,1.19999980926514,2.10000038146973,24.2019100189209,1.65000009536743,0.0915901362895966,0.059238038957119,0.117066897451878,0.136206239461899,0.0
270,SIK 1/19/24 C270,01/19/24,0.419999957084656,1.25,24.4040813446045,0.834999978542328,0.0544063895940781,0.0191414095461369,0.0798342078924179,0.0766526386141777,0.0
19-Jan-24 (77d); CSize 100,,,,,,,,,,,
190,SIKE 1/19/24 C190,01/19/24,37.6999969482422,43.2999877929688,35.0123252868652,40.4999923706055,0.903784692287445,1.0,0.837705612182617,0.893238842487335,0.0
195,SIKE 1/19/24 C195,01/19/24,33.3999938964844,38.3999938964844,33.1961669921875,35.8999938964844,0.877836108207703,1.0,0.820831775665283,0.871028065681458,0.0
200,SIKE 1/19/24 C200,01/19/24,29.25,33.5999908447266,31.5559539794922,31.4249954223633,0.845620274543762,0.938878893852234,0.798724293708801,0.842744469642639,0.0
210,SIKE 1/19/24 C210,01/19/24,21.4499969482422,24.6499938964844,28.9091320037842,23.0499954223633,0.749234676361084,0.789162516593933,0.722653985023499,0.762321054935455,0.0
220,SIKE 1/19/24 C220,01/19/24,14.3000001907349,17.2999877929688,27.0608863830566,15.7999935150147,0.610755085945129,0.623737812042236,0.60223001241684,0.646327078342438,0.0
230,SIKE 1/19/24 C230,01/19/24,8.60000038146973,11.6000003814697,25.992919921875,10.1000003814697,0.447543203830719,0.431327998638153,0.460316687822342,0.503762006759644,0.0
240,SIKE 1/19/24 C240,01/19/24,4.59999942779541,7.5,25.4762649536133,6.04999971389771,0.289759904146194,0.24268339574337,0.323616594076157,0.359236150979996,0.0
250,SIKE 1/19/24 C250,01/19/24,1.79999923706055,4.80000019073486,24.9004135131836,3.29999971389771,0.163044095039368,0.0580064915120602,0.221500799059868,0.231968596577644,0.0
260,SIKE 1/19/24 C260,01/19/24,0.0999999642372131,3.09999942779541,24.2180995941162,1.59999966621399,0.122303202748299,0.00292751798406243,0.181273907423019,0.132926538586616,0.0
270,SIKE 1/19/24 C270,01/19/24,0.00999999791383743,3.0,28.4822444915771,1.50499999523163,0.107325598597527,0.00242337095551193,0.161980301141739,0.111259870231152,0.0
15-Mar-24 (133d); CSize 100,,,,,,,,,,,
160,SIK 3/15/24 C160,03/15/24,69.3999938964844,70.9499969482422,36.9701957702637,70.1749954223633,0.950973212718964,1.0,0.892413973808289,0.95819365978241,0.0
170,SIK 3/15/24 C170,03/15/24,59.8499908447266,61.3999938964844,34.3208808898926,60.6249923706055,0.930320799350739,1.0,0.877752184867859,0.939988791942596,0.0
180,SIK 3/15/24 C180,03/15/24,50.5999908447266,52.0999908447266,32.2807884216309,51.3499908447266,0.900539577007294,1.0,0.856374621391296,0.911036968231201,0.0
190,SIK 3/15/24 C190,03/15/24,41.6999969482422,43.1499938964844,30.4781379699707,42.4249954223633,0.856124401092529,0.909587979316711,0.822687327861786,0.869076907634735,0.0
200,SIK 3/15/24 C200,03/15/24,33.4499969482422,34.6999969482422,29.0732154846191,34.0749969482422,0.792392909526825,0.821678698062897,0.770841598510742,0.809369087219238,0.0
220,SIK 3/15/24 C220,03/15/24,19.2999877929688,20.3000030517578,26.9328212738037,19.7999954223633,0.600926280021667,0.604082584381104,0.598468482494354,0.635339915752411,0.0
240,SIK 3/15/24 C240,03/15/24,9.25,10.1999998092651,25.3982086181641,9.72500038146973,0.369857013225555,0.35508468747139,0.382832407951355,0.416987746953964,0.0
260,SIK 3/15/24 C260,03/15/24,3.69999980926514,4.65000057220459,24.8383159637451,4.17500019073486,0.22107370197773,0.154903799295425,0.208301395177841,0.226299330592156,0.0
280,SIK 3/15/24 C280,03/15/24,1.14999961853027,2.0,24.5525226593018,1.57499980926514,0.0746987015008926,0.00210162810981274,0.116534598171711,0.103634394705296,0.0
300,SIK 3/15/24 C300,03/15/24,0.280000030994415,1.0,25.2414989471436,0.639999985694885,0.0629497691988945,0.00167240900918841,0.0999187007546425,0.0469719283282757,0.0
